 *************************************************************************
 ************		    FSM3D_qua_part1		        **********
 ************	    developed by Wong and Cui (2021)            **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Intact Brazilian disk(section 3.2 of the companion paper)to verify the quadrilateral element                               
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  0.0000E+00
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      1857
 Number of nodes   :      1859
 Times of iteration:       209
 Computing time    :     44.08 s
 Coordinates of center of gravity and fictitous stresses of each element:
  No.	     Gx            Gy            Gz            Px            Py           Pz 
  140    3.5677E+01   -3.4971E+01    2.5000E+00   -1.2923E-03   -3.3567E-03    9.5726E-03
  141    3.8410E+01   -3.1946E+01    4.7500E+01    1.3663E-03   -2.4375E-03    1.1840E-02
  142    3.8410E+01   -3.1946E+01    4.2500E+01    1.3890E-03   -4.0008E-03    8.5118E-03
  143    3.8410E+01   -3.1946E+01    3.7500E+01    8.9733E-04   -4.9867E-03    7.4356E-03
  144    3.8410E+01   -3.1946E+01    3.2500E+01    4.9332E-04   -5.5632E-03    7.0280E-03
  145    3.8410E+01   -3.1946E+01    2.7500E+01    1.9069E-04   -5.8239E-03    6.8888E-03
  146    3.8410E+01   -3.1946E+01    2.2500E+01   -7.1556E-05   -5.8217E-03    6.8834E-03
  147    3.8410E+01   -3.1946E+01    1.7500E+01   -3.7269E-04   -5.5558E-03    7.0110E-03
  148    3.8410E+01   -3.1946E+01    1.2500E+01   -7.7308E-04   -4.9712E-03    7.4044E-03
  149    3.8410E+01   -3.1946E+01    7.5000E+00   -1.2567E-03   -3.9696E-03    8.4600E-03
  150    3.8410E+01   -3.1946E+01    2.5000E+00   -1.2044E-03   -2.3603E-03    1.1738E-02
  151    4.0886E+01   -2.8708E+01    4.7500E+01    1.2350E-03   -1.6964E-03    1.3636E-02
  152    4.0886E+01   -2.8708E+01    4.2500E+01    1.4439E-03   -3.0361E-03    9.7742E-03
  153    4.0886E+01   -2.8708E+01    3.7500E+01    1.0006E-03   -3.9003E-03    8.4331E-03
  154    4.0886E+01   -2.8708E+01    3.2500E+01    5.8197E-04   -4.4245E-03    7.8601E-03
  155    4.0886E+01   -2.8708E+01    2.7500E+01    2.2119E-04   -4.6685E-03    7.6387E-03
  156    4.0886E+01   -2.8708E+01    2.2500E+01   -1.1480E-04   -4.6656E-03    7.6342E-03
  157    4.0886E+01   -2.8708E+01    1.7500E+01   -4.7424E-04   -4.4150E-03    7.8461E-03
  158    4.0886E+01   -2.8708E+01    1.2500E+01   -8.8969E-04   -3.8811E-03    8.4073E-03
  159    4.0886E+01   -2.8708E+01    7.5000E+00   -1.3260E-03   -2.9999E-03    9.7317E-03
  160    4.0886E+01   -2.8708E+01    2.5000E+00   -1.0905E-03   -1.6154E-03    1.3552E-02
  161    4.3091E+01   -2.5279E+01    4.7500E+01    1.0945E-03   -1.1502E-03    1.5133E-02
  162    4.3091E+01   -2.5279E+01    4.2500E+01    1.4528E-03   -2.2834E-03    1.0848E-02
  163    4.3091E+01   -2.5279E+01    3.7500E+01    1.0519E-03   -3.0231E-03    9.3050E-03
  164    4.3091E+01   -2.5279E+01    3.2500E+01    6.3140E-04   -3.4836E-03    8.6069E-03
  165    4.3091E+01   -2.5279E+01    2.7500E+01    2.3727E-04   -3.7020E-03    8.3232E-03
  166    4.3091E+01   -2.5279E+01    2.2500E+01   -1.4360E-04   -3.6986E-03    8.3197E-03
  167    4.3091E+01   -2.5279E+01    1.7500E+01   -5.3648E-04   -3.4723E-03    8.5960E-03
  168    4.3091E+01   -2.5279E+01    1.2500E+01   -9.5402E-04   -3.0009E-03    9.2848E-03
  169    4.3091E+01   -2.5279E+01    7.5000E+00   -1.3485E-03   -2.2426E-03    1.0815E-02
  170    4.3091E+01   -2.5279E+01    2.5000E+00   -9.6534E-04   -1.0630E-03    1.5066E-02
  171    4.5008E+01   -2.1681E+01    4.7500E+01    9.5844E-04   -7.5675E-04    1.6371E-02
  172    4.5008E+01   -2.1681E+01    4.2500E+01    1.4355E-03   -1.6958E-03    1.1750E-02
  173    4.5008E+01   -2.1681E+01    3.7500E+01    1.0701E-03   -2.3121E-03    1.0052E-02
  174    4.5008E+01   -2.1681E+01    3.2500E+01    6.5458E-04   -2.7027E-03    9.2599E-03
  175    4.5008E+01   -2.1681E+01    2.7500E+01    2.4351E-04   -2.8903E-03    8.9296E-03
  176    4.5008E+01   -2.1681E+01    2.2500E+01   -1.6248E-04   -2.8864E-03    8.9272E-03
  177    4.5008E+01   -2.1681E+01    1.7500E+01   -5.7232E-04   -2.6900E-03    9.2521E-03
  178    4.5008E+01   -2.1681E+01    1.2500E+01   -9.8478E-04   -2.2876E-03    1.0037E-02
  179    4.5008E+01   -2.1681E+01    7.5000E+00   -1.3434E-03   -1.6517E-03    1.1725E-02
  180    4.5008E+01   -2.1681E+01    2.5000E+00   -8.3926E-04   -6.6585E-04    1.6318E-02
  181    4.6626E+01   -1.7940E+01    4.7500E+01    8.3492E-04   -4.8211E-04    1.7374E-02
  182    4.6626E+01   -1.7940E+01    4.2500E+01    1.4052E-03   -1.2364E-03    1.2489E-02
  183    4.6626E+01   -1.7940E+01    3.7500E+01    1.0685E-03   -1.7323E-03    1.0674E-02
  184    4.6626E+01   -1.7940E+01    3.2500E+01    6.6124E-04   -2.0503E-03    9.8123E-03
  185    4.6626E+01   -1.7940E+01    2.7500E+01    2.4344E-04   -2.2043E-03    9.4479E-03
  186    4.6626E+01   -1.7940E+01    2.2500E+01   -1.7492E-04   -2.2001E-03    9.4465E-03
  187    4.6626E+01   -1.7940E+01    1.7500E+01   -5.9148E-04   -2.0367E-03    9.8078E-03
  188    4.6626E+01   -1.7940E+01    1.2500E+01   -9.9561E-04   -1.7063E-03    1.0665E-02
  189    4.6626E+01   -1.7940E+01    7.5000E+00   -1.3250E-03   -1.1906E-03    1.2473E-02
  190    4.6626E+01   -1.7940E+01    2.5000E+00   -7.2422E-04   -3.8944E-04    1.7334E-02
  191    4.7934E+01   -1.4078E+01    4.7500E+01    7.2945E-04   -2.9969E-04    1.8160E-02
  192    4.7934E+01   -1.4078E+01    4.2500E+01    1.3713E-03   -8.7524E-04    1.3072E-02
  193    4.7934E+01   -1.4078E+01    3.7500E+01    1.0569E-03   -1.2540E-03    1.1171E-02
  194    4.7934E+01   -1.4078E+01    3.2500E+01    6.5843E-04   -1.4989E-03    1.0259E-02
  195    4.7934E+01   -1.4078E+01    2.7500E+01    2.3965E-04   -1.6180E-03    9.8704E-03
  196    4.7934E+01   -1.4078E+01    2.2500E+01   -1.8346E-04   -1.6135E-03    9.8700E-03
  197    4.7934E+01   -1.4078E+01    1.7500E+01   -6.0101E-04   -1.4848E-03    1.0258E-02
  198    4.7934E+01   -1.4078E+01    1.2500E+01   -9.9625E-04   -1.2273E-03    1.1168E-02
  199    4.7934E+01   -1.4078E+01    7.5000E+00   -1.3030E-03   -8.2890E-04    1.3066E-02
  200    4.7934E+01   -1.4078E+01    2.5000E+00   -6.2867E-04   -2.0802E-04    1.8134E-02
  201    4.8922E+01   -1.0124E+01    4.7500E+01    6.4565E-04   -1.8484E-04    1.8740E-02
  202    4.8922E+01   -1.0124E+01    4.2500E+01    1.3399E-03   -5.8636E-04    1.3505E-02
  203    4.8922E+01   -1.0124E+01    3.7500E+01    1.0417E-03   -8.5134E-04    1.1543E-02
  204    4.8922E+01   -1.0124E+01    3.2500E+01    6.5112E-04   -1.0237E-03    1.0597E-02
  205    4.8922E+01   -1.0124E+01    2.7500E+01    2.3398E-04   -1.1073E-03    1.0191E-02
  206    4.8922E+01   -1.0124E+01    2.2500E+01   -1.8989E-04   -1.1028E-03    1.0192E-02
  207    4.8922E+01   -1.0124E+01    1.7500E+01   -6.0583E-04   -1.0094E-03    1.0598E-02
  208    4.8922E+01   -1.0124E+01    1.2500E+01   -9.9332E-04   -8.2459E-04    1.1546E-02
  209    4.8922E+01   -1.0124E+01    7.5000E+00   -1.2840E-03   -5.4046E-04    1.3508E-02
  210    4.8922E+01   -1.0124E+01    2.5000E+00   -5.5826E-04   -9.5535E-05    1.8728E-02
  211    4.9584E+01   -6.1012E+00    4.7500E+01    5.8611E-04   -1.1677E-04    1.9119E-02
  212    4.9584E+01   -6.1012E+00    4.2500E+01    1.3148E-03   -3.4711E-04    1.3790E-02
  213    4.9584E+01   -6.1012E+00    3.7500E+01    1.0274E-03   -5.0113E-04    1.1790E-02
  214    4.9584E+01   -6.1012E+00    3.2500E+01    6.4263E-04   -6.0168E-04    1.0822E-02
  215    4.9584E+01   -6.1012E+00    2.7500E+01    2.2768E-04   -6.4989E-04    1.0407E-02
  216    4.9584E+01   -6.1012E+00    2.2500E+01   -1.9544E-04   -6.4544E-04    1.0408E-02
  217    4.9584E+01   -6.1012E+00    1.7500E+01   -6.0925E-04   -5.8760E-04    1.0827E-02
