 **************************************************************************************
 ************		        DDFS3D_tri_part1		             **********
 ************	             Algorithm developed by                          **********
 ************	   Kuriyama et al.(1993 & 1995), Tang et al. (2019)          **********
 ************			and Wong and Cui (2021)		             **********
 ************	      Codes developed by Wong and Cui (2021)	             **********
 ************ incorporating the contribution of Kuriyama et al.(1993 & 1995) **********
 ************	          DDFS3D (version 1.0), 31-5-2021		     **********
 **************************************************************************************
 Title: Flawed Brazilian disk(section S3-3 of the companion paper)to verify the triangular element                                
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  1.0000E+15
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      3576
 Number of nodes   :      1794
 Times of iteration:        79
 Computing time    :    258.79 s
 Coordinates of center of gravity and DD/FS of each element:
 No.	     Gx            Gy            Gz           Dx/Px         Dy/Py         Dz/Pz
  179    2.1716E+01   -4.4998E+01    1.8519E+00   -1.6983E-01   -6.0751E+00   -4.2748E+00
  180    2.2917E+01   -4.4398E+01    3.7037E+00   -1.8673E-01    6.0870E+00   -2.3405E+00
  181    2.5267E+01   -4.3104E+01    4.6296E+01    2.7147E-01   -5.0102E+00   -1.3822E+00
  182    2.6416E+01   -4.2410E+01    4.8148E+01   -5.4300E-01    4.3921E+00   -8.4354E-01
  183    2.5267E+01   -4.3104E+01    4.0741E+01   -2.2798E-01   -5.7123E+00   -6.3219E-01
  184    2.6416E+01   -4.2410E+01    4.2593E+01    3.4824E-02    5.2030E+00   -2.1560E-01
  185    2.5267E+01   -4.3104E+01    3.5185E+01   -3.2441E-01   -5.9597E+00   -6.6630E-02
  186    2.6416E+01   -4.2410E+01    3.7037E+01    2.4310E-01    5.5694E+00    3.0932E-01
  187    2.5267E+01   -4.3104E+01    2.9630E+01   -1.6697E-01   -6.0140E+00    2.6580E-01
  188    2.6416E+01   -4.2410E+01    3.1481E+01    1.8654E-01    5.6793E+00    6.6897E-01
  189    2.5267E+01   -4.3104E+01    2.4074E+01    1.0025E-01   -6.0232E+00    3.4926E-01
  190    2.6416E+01   -4.2410E+01    2.5926E+01   -1.0946E-02    5.7036E+00    8.1698E-01
  191    2.5267E+01   -4.3104E+01    1.8519E+01    3.5502E-01   -6.0209E+00    1.8183E-01
  192    2.6416E+01   -4.2410E+01    2.0370E+01   -2.3333E-01    5.7050E+00    7.4475E-01
  193    2.5267E+01   -4.3104E+01    1.2963E+01    4.6962E-01   -5.9437E+00   -2.4130E-01
  194    2.6416E+01   -4.2410E+01    1.4815E+01   -3.6883E-01    5.6559E+00    4.5052E-01
  195    2.5267E+01   -4.3104E+01    7.4074E+00    2.9996E-01   -5.6000E+00   -9.0676E-01
  196    2.6416E+01   -4.2410E+01    9.2593E+00   -2.9551E-01    5.4269E+00   -5.0816E-02
  197    2.5267E+01   -4.3104E+01    1.8519E+00   -3.0939E-01   -4.7606E+00   -1.9545E+00
  198    2.6416E+01   -4.2410E+01    3.7037E+00    7.3232E-02    4.8017E+00   -7.2355E-01
