 *************************************************************************
 ************		    DDFS3D_qua_part1		       **********
 ************	    developed by Wong and Cui (2021)            **********
 ************	       DDFS3D (version 1.0), 31-5-2021		**********
 *************************************************************************
 Title: Flawed Brazilian disk(section 3.3 of the companion paper)to verify the quadrilateral element                               
 Modulus=  4.0000E+04  Poison ratio=    0.2500  KS=  0.0000E+00  KN=  1.0000E+15
 Initial stress field:
 Pxx=  0.0000E+00 Pyy=  0.0000E+00 Pzz=  0.0000E+00
 Pxy=  0.0000E+00 Pxz=  0.0000E+00 Pyz=  0.0000E+00
 Number of elements:      2094
 Number of nodes   :      2102
 Times of iteration:        94
 Computing time    :     40.89 s
 Coordinates of center of gravity and DD/FS of each element:
 No.	     Gx            Gy            Gz           Dx/Px         Dy/Py         Dz/Pz
  201    4.6345E+01   -1.8656E+01    3.8636E+01    4.0243E-01   -1.1739E+00    4.4948E+00
  202    4.6345E+01   -1.8656E+01    3.4091E+01    2.6018E-01   -1.2818E+00    4.1403E+00
  203    4.6345E+01   -1.8656E+01    2.9545E+01    1.2733E-01   -1.3440E+00    3.9719E+00
  204    4.6345E+01   -1.8656E+01    2.5000E+01    1.6935E-03   -1.3640E+00    3.9219E+00
  205    4.6345E+01   -1.8656E+01    2.0455E+01   -1.2395E-01   -1.3430E+00    3.9728E+00
  206    4.6345E+01   -1.8656E+01    1.5909E+01   -2.5680E-01   -1.2800E+00    4.1423E+00
  207    4.6345E+01   -1.8656E+01    1.1364E+01   -3.9899E-01   -1.1722E+00    4.4985E+00
  208    4.6345E+01   -1.8656E+01    6.8182E+00   -5.2843E-01   -1.0144E+00    5.2427E+00
  209    4.6345E+01   -1.8656E+01    2.2727E+00   -2.8022E-01   -7.9209E-01    7.2623E+00
  210    4.7696E+01   -1.4866E+01    4.7727E+01    2.6205E-01   -5.9987E-01    7.7571E+00
  211    4.7696E+01   -1.4866E+01    4.3182E+01    5.3542E-01   -7.7938E-01    5.6094E+00
  212    4.7696E+01   -1.4866E+01    3.8636E+01    4.0954E-01   -9.0420E-01    4.8173E+00
  213    4.7696E+01   -1.4866E+01    3.4091E+01    2.6758E-01   -9.8952E-01    4.4354E+00
  214    4.7696E+01   -1.4866E+01    2.9545E+01    1.3249E-01   -1.0392E+00    4.2521E+00
  215    4.7696E+01   -1.4866E+01    2.5000E+01    3.1153E-03   -1.0553E+00    4.1973E+00
  216    4.7696E+01   -1.4866E+01    2.0455E+01   -1.2625E-01   -1.0384E+00    4.2526E+00
  217    4.7696E+01   -1.4866E+01    1.5909E+01   -2.6133E-01   -9.8821E-01    4.4365E+00
